result_id,season_name,season_id,matchday_number,event_id,home_team,away_team,home_goals,away_goals,total_goals,o15,o25,u25,u35,gg,ng,has_core_odds,has_league_snapshot,over_15,over_25,under_25,under_35,gg_yes,ng_yes,home_win,draw,away_win
66338,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Crystal Palace:Bournemouth,Crystal Palace,Bournemouth,3,0,3,1.3,1.95,1.75,1.2,1.8,1.9,True,True,True,True,False,True,False,True,True,False,False
167537,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:CrystalPalace:Tottenham,Crystal Palace,Tottenham,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
167533,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:Everton:ManchesterRed,Everton,Manchester Red,0,2,2,,,,,,,False,True,True,False,True,True,False,True,False,False,True
66337,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Everton:Chelsea,Everton,Chelsea,0,1,1,1.35,2.35,1.55,1.18,1.95,1.75,True,True,False,False,True,True,False,True,False,False,True
167538,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:Fulham:Leeds,Fulham,Leeds,3,0,3,,,,,,,False,True,True,True,False,True,False,True,True,False,False
167536,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:LondonGuns:Newcastle,London Guns,Newcastle,5,0,5,,,,,,,False,True,True,True,False,False,False,True,True,False,False
66332,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Manchester Blue:Fulham,Manchester Blue,Fulham,6,1,7,1.18,1.55,2.3,1.45,2.35,1.55,True,True,True,True,False,False,True,False,True,False,False
167540,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:ManchesterBlue:Chelsea,Manchester Blue,Chelsea,3,3,6,,,,,,,False,True,True,True,False,False,True,False,False,True,False
66334,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Manchester Red:Aston Villa,Manchester Red,Aston Villa,1,0,1,1.4,2.1,1.65,1.22,2.05,1.7,True,True,False,False,True,True,False,True,True,False,False
66336,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Newcastle:London Guns,Newcastle,London Guns,1,0,1,1.2,1.85,1.9,1.3,1.7,2.05,True,True,False,False,True,True,False,True,True,False,False
66333,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Tottenham:Wolverhampton,Tottenham,Wolverhampton,1,1,2,1.16,1.55,2.3,1.45,1.65,2.1,True,True,True,False,True,True,True,False,False,True,False
66335,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:West Ham:Liverpool,West Ham,Liverpool,0,0,0,1.22,1.75,1.95,1.3,1.65,2.1,True,True,False,False,True,True,False,True,False,True,False
167535,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:Wolverhampton:AstonVilla,Wolverhampton,Aston Villa,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
